k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.6839999999999999,0.09123595782365637,0.6839999654269828,0.09123592700909797,0.3632043,0.078164175,0.39699999999999996,0.044508426168535765,0.45052862,0.04993887,0.10818001622735751,0.4116184016297417
2,0.6599999999999999,0.09383496150156401,0.710217511834305,0.12677743564228539,0.5076984,0.105890214,0.6249999999999999,0.037215588131856804,0.66804034,0.058489833,0.10004640863553496,0.25357358620944126
3,0.6626666666666666,0.07478561953269418,0.7201614953009077,0.12246178251014563,0.59062237,0.13275728,0.77,0.027568097504180468,0.79718995,0.042529464,0.09330647688778612,0.18521454320051944
4,0.6775,0.08681877677092668,0.7330613593729229,0.1316029265120436,0.6056536,0.13195832,0.867,0.03465544690232692,0.8839304,0.03647931,0.08857556812636616,0.17292209545420079
5,0.6694,0.0875490719539619,0.7192372095258861,0.12804629974155238,0.6320716,0.13192454,0.9269999999999999,0.02609597670139975,0.941048,0.023408728,0.09522359939231466,0.15277538019178394
6,0.6733333333333332,0.08551153268549347,0.7137434746601498,0.11868853918157864,0.630641,0.107676625,0.951,0.03047950130825632,0.96012783,0.025222914,0.09602976763270145,0.14802033939577086
7,0.6801428571428572,0.08788315526647775,0.7242913662413691,0.11711512686678813,0.65295565,0.1254326,0.9709999999999999,0.022561028345356955,0.976988,0.017837688,0.08973120367007471,0.13617311514339292
8,0.674625,0.08086843095423578,0.7140263790693065,0.10665456234440619,0.66744566,0.13169846,0.9850000000000001,0.01627882059609972,0.9880659,0.012703991,0.09315610753708878,0.1279368733996762
9,0.679111111111111,0.08527486422818745,0.7111067638233919,0.10593593301719058,0.6791595,0.13549234,0.991,0.012206555615733715,0.99292314,0.009566058,0.09468172381281617,0.12129678699842827
10,0.6824,0.08587688862552022,0.7184210682783705,0.10623084217571553,0.6760447,0.118998416,0.9960000000000001,0.006633249580710806,0.99692297,0.0048520006,0.09057168661885588,0.11910765760154618
11,0.6934545454545455,0.09027670960729939,0.7354412849704076,0.1185529489091466,0.67272455,0.104587376,0.999,0.0030000000000000022,0.9993324,0.002002738,0.0840461153931638,0.11804774305611332
12,0.70275,0.09298973210939894,0.742633216937806,0.12342929657374138,0.68854296,0.10681277,0.999,0.0030000000000000022,0.9993324,0.002002738,0.08147245227647101,0.10841445437075947
13,0.7081538461538461,0.09108562848208457,0.7477787843323986,0.12256095450842854,0.69297993,0.10148552,0.999,0.0030000000000000022,0.9993324,0.002002738,0.07863672920285977,0.10456063327775666
14,0.7106428571428571,0.09264450929246057,0.7465033806814164,0.12198320609745063,0.701818,0.1034172,0.999,0.0030000000000000022,0.9993324,0.002002738,0.079140438575764,0.09960762900141162
15,0.7136666666666667,0.09026393398128497,0.7407615257829132,0.09951933723163967,0.7107865,0.106705554,1.0,0.0,1.0,9.233912e-08,0.07710868499742798,0.0950305121722046
16,0.7151875000000001,0.08908697032254495,0.7409104849181138,0.0957950332902218,0.7122222,0.099670544,1.0,0.0,1.0,9.233912e-08,0.07630406522844162,0.0927502682550454
17,0.7148235294117646,0.08915473893208616,0.7410851246910349,0.0949660172465268,0.7143402,0.10167212,1.0,0.0,1.0,9.233912e-08,0.07605545708792455,0.09193873521871865
18,0.719,0.09438324814745568,0.7463588645796808,0.1033282031682863,0.71699464,0.10221564,1.0,0.0,1.0,9.233912e-08,0.07501054314729534,0.09054006961777361
19,0.7244736842105262,0.09160321819940355,0.7537154395845637,0.10237381649405022,0.71628463,0.09624186,1.0,0.0,1.0,9.233912e-08,0.07113648300258218,0.08975690625744903
20,0.7281000000000001,0.0907024806716994,0.7583946489351593,0.10200711205446382,0.7204519,0.090579435,1.0,0.0,1.0,9.233912e-08,0.06877859657285687,0.08635177931074978
21,0.7306190476190475,0.0882120332595921,0.7611360652502116,0.09832046300843719,0.7228035,0.09047237,1.0,0.0,1.0,9.233912e-08,0.06672289277034464,0.0850231640721546
22,0.7342727272727274,0.08752619442626193,0.7624153756696483,0.09532747262045803,0.72316664,0.0862537,1.0,0.0,1.0,9.233912e-08,0.0655337807543985,0.08407640802912297
23,0.7393478260869565,0.09089936062379504,0.7666414868312803,0.0987394481808784,0.7237209,0.08075192,1.0,0.0,1.0,9.233912e-08,0.06420567429537989,0.08285100858951466
24,0.7418333333333332,0.090391547970175,0.767245714908756,0.09593553001983267,0.7240177,0.08101483,1.0,0.0,1.0,9.233912e-08,0.06337818314852228,0.08272964290398832
25,0.7436400000000001,0.08993089791612224,0.7691408585102926,0.09714620854836148,0.7252387,0.0789849,1.0,0.0,1.0,9.233912e-08,0.0627333290446865,0.08173239671579324
26,0.7464615384615386,0.0905961191483042,0.7690013707810877,0.09378814398209064,0.7289966,0.07965547,1.0,0.0,1.0,9.233912e-08,0.0621565826526219,0.07978785002623923
27,0.7458888888888888,0.09096894207638435,0.7671957102407714,0.09385575777226852,0.73084307,0.0742476,1.0,0.0,1.0,9.233912e-08,0.06300674059730563,0.07795816002931133
28,0.7482499999999999,0.08943451172648681,0.7676985013867931,0.09279954496014589,0.73233795,0.075923376,1.0,0.0,1.0,9.233912e-08,0.06257574180275191,0.07740733079845086
29,0.7499655172413793,0.08581392501520979,0.7697479771924814,0.08760417890383396,0.73321086,0.07441557,1.0,0.0,1.0,9.233912e-08,0.060690486168368994,0.07671412188026139
30,0.7523000000000001,0.0851702151902621,0.7710558122980834,0.08702237038442316,0.73267233,0.075822815,1.0,0.0,1.0,9.233912e-08,0.059988334029814155,0.07721318011671485
31,0.7550967741935484,0.08374852103932769,0.7726804374859875,0.08494407083159897,0.7369547,0.07298722,1.0,0.0,1.0,9.233912e-08,0.05888967867100575,0.07451997048428893
32,0.7586875,0.08219092198199264,0.7758991310034591,0.08277966650876757,0.73673165,0.074077964,1.0,0.0,1.0,9.233912e-08,0.05707367267230757,0.07479776939250371
33,0.7610303030303032,0.08113555866391847,0.77764380384133,0.08221735708410892,0.7349876,0.06998996,1.0,0.0,1.0,9.233912e-08,0.05620197177604879,0.07513015761436748
